iter	RMSE
0	1.135081311
1	1.076688486
2	1.026502009
3	0.9839391216
4	0.9469432044
5	0.91499172
6	0.8880316586
7	0.8637600295
8	0.8413095304
9	0.8234843683
10	0.8069022485
11	0.7929456717
12	0.7792207478
13	0.7679512018
14	0.7577523546
15	0.7465474137
16	0.737270311
17	0.7292516539
18	0.7222946952
19	0.7160194126
20	0.7091317647
21	0.703379875
22	0.6988709785
23	0.6944140301
24	0.6900721694
25	0.6864588793
26	0.6826270783
27	0.6789423286
28	0.6744279381
29	0.6718512435
30	0.6685448408
31	0.6654956169
32	0.6627927899
33	0.6592939964
34	0.6569233437
35	0.6541591474
36	0.6518593752
37	0.6498188289
38	0.6479950389
39	0.6457439308
40	0.6435837412
41	0.6419675013
42	0.6402916272
43	0.6379826915
44	0.6361489232
45	0.6345044336
46	0.6326761648
47	0.6313775918
48	0.6298574937
49	0.6281557983
50	0.6263854801
51	0.6250061104
52	0.6235162122
53	0.6223907185
54	0.6210057837
55	0.6198282329
56	0.6188212881
57	0.6177897985
58	0.616637856
59	0.6155137004
60	0.6143273597
61	0.6132602199
62	0.611376565
63	0.6102002121
64	0.6093767139
65	0.608007198
66	0.6070413554
67	0.6059737543
68	0.6047450469
69	0.6038536222
70	0.6028923883
71	0.6020169079
72	0.601184994
73	0.6002952343
74	0.599312404
75	0.5984206839
76	0.5976375917
77	0.5969146894
78	0.5958874513
79	0.5949043297
80	0.5941139738
81	0.5935165755
82	0.592736372
83	0.5920045798
84	0.5912685627
85	0.5906703546
86	0.5900591569
87	0.5890135478
88	0.5879596849
89	0.5873634777
90	0.5867739558
91	0.5860011386
92	0.5855227272
93	0.5849924892
94	0.5842144566
95	0.5834151101
96	0.5826731767
97	0.582150257
98	0.5814542708
99	0.5809628332
100	0.5805268685
101	0.5801231226
102	0.5795672045
103	0.5789773381
104	0.578301281
105	0.5778232399
106	0.5773703642
107	0.5768649678
108	0.5761563187
109	0.5755760151
110	0.5751200898
111	0.574702193
112	0.574231007
113	0.5736240896
114	0.5731362259
115	0.5725267754
116	0.572109578
117	0.5714420922
118	0.5709696085
119	0.5705447118
120	0.5701094525
121	0.5697184996
122	0.5689585568
123	0.5685090044
124	0.5679215591
125	0.5674677411
126	0.5667360827
127	0.5660126013
128	0.5655153845
129	0.5650078148
130	0.5644437033
131	0.5640431734
132	0.5636097446
133	0.5632235139
134	0.5628492648
135	0.5623694833
136	0.5618341327
137	0.5614706006
138	0.5610445614
139	0.5605718279
140	0.5601187348
141	0.5596225256
142	0.5591222159
143	0.5587093149
144	0.5583448622
145	0.5578690702
146	0.5574665918
147	0.5570101148
148	0.5567153396
149	0.5564233378
150	0.5559717046
151	0.5553895241
152	0.5550817718
153	0.5547761382
154	0.5543662108
155	0.5539268048
156	0.5534975485
157	0.5531884762
158	0.5528617611
159	0.5525173379
160	0.552267343
161	0.551983438
162	0.5515863406
163	0.5511865826
164	0.5509102761
165	0.5506641913
166	0.5502855429
167	0.5500326556
168	0.5497031239
169	0.5493396684
170	0.5490154222
171	0.5487447167
172	0.5484532234
173	0.548154955
174	0.5477571293
175	0.5474526351
176	0.5471442907
177	0.5467369291
178	0.5464200806
179	0.5461418378
180	0.5459110166
181	0.5455793457
182	0.5452854448
183	0.545013302
184	0.5447680196
185	0.5445198744
186	0.5442463847
187	0.5440256827
188	0.5436657794
189	0.5433353986
190	0.5430083328
191	0.5426110465
192	0.5423333713
193	0.5421051912
194	0.541794197
195	0.5415120448
196	0.541191378
197	0.54092172
198	0.5406373376
199	0.5404312819
200	0.5402369412
201	0.5399716471
202	0.5396408128
203	0.5393523965
204	0.5391066901
205	0.538875181
206	0.5386661807
207	0.5382919343
208	0.538053947
209	0.5378269214
210	0.5375831193
211	0.5373390373
212	0.5371051653
213	0.5367994033
214	0.5365479152
215	0.5362370037
216	0.5359929974
217	0.5357662133
218	0.5355123711
219	0.5352792661
220	0.5350901205
221	0.534822182
222	0.5346338453
223	0.5343700948
224	0.5341190841
225	0.5338278673
226	0.5336057258
227	0.5334289952
228	0.533221496
229	0.533027477
230	0.5328543391
231	0.5326128525
232	0.5324255898
233	0.5322207817
234	0.5320217743
235	0.5318278279
236	0.5316460564
237	0.5314412814
238	0.5312104708
239	0.5309497896
240	0.5307429859
241	0.5305416704
242	0.5303674695
243	0.5300128258
244	0.5297481715
245	0.5295749627
246	0.529342002
247	0.5291913692
248	0.5289346873
249	0.5287530944
250	0.5285764277
251	0.5283719621
252	0.5281763514
253	0.5280314137
254	0.5278414831
255	0.5276906423
256	0.5274893245
257	0.5272997481
258	0.5271121228
259	0.5268846714
260	0.5267554283
261	0.52659732
262	0.5264488745
263	0.5262237155
264	0.5260636872
265	0.5259052853
266	0.5257840005
267	0.5255636101
268	0.5253739676
269	0.5251407905
270	0.5249617282
271	0.524730734
272	0.5245218982
273	0.5243455537
274	0.5241998777
275	0.524025275
276	0.5238896459
277	0.523718886
278	0.5235066581
279	0.5233244629
280	0.5231600191
281	0.5229982279
282	0.5228404151
283	0.5226902612
284	0.5225521756
285	0.5223796752
286	0.5222207054
287	0.5220823257
288	0.5218878134
289	0.5216971159
290	0.5215215555
291	0.5213636878
292	0.5212027086
293	0.5210624488
294	0.520909609
295	0.5207229473
296	0.5205831275
297	0.5204471132
298	0.520263251
299	0.5201452502
300	0.5199443086
301	0.519793669
302	0.5195747893
303	0.5194307713
304	0.5192975434
305	0.519150812
306	0.5190218846
307	0.5188558756
308	0.5186707827
309	0.5185086913
310	0.5183535252
311	0.5181859947
312	0.5180503365
313	0.5179094309
314	0.5177170388
315	0.5175992353
316	0.5174551017
317	0.5173127283
318	0.5172017418
319	0.5171009572
320	0.5169632104
321	0.5168633588
322	0.5167126271
323	0.5166020825
324	0.5164737445
325	0.5163564376
326	0.5161886184
327	0.5160722135
328	0.5159772418
