iter	Passed	Remaining
0	93	93090
1	178	88831
2	261	86829
3	346	86259
4	418	83325
5	488	80900
6	555	78745
7	624	77398
8	693	76321
9	758	75068
10	825	74214
11	892	73470
12	959	72810
13	1024	72147
14	1093	71812
15	1162	71467
16	1229	71119
17	1296	70737
18	1363	70401
19	1436	70402
20	1507	70261
21	1572	69914
22	1637	69575
23	1698	69090
24	1764	68820
25	1825	68372
26	1889	68084
27	1953	67814
28	2021	67682
29	2087	67500
30	2148	67154
31	2225	67314
32	2289	67083
33	2356	66949
34	2419	66710
35	2484	66538
36	2549	66363
37	2616	66244
38	2672	65842
39	2734	65616
40	2793	65343
41	2847	64958
42	2904	64645
43	2973	64615
44	3044	64613
45	3103	64365
46	3165	64189
47	3228	64040
48	3293	63922
49	3353	63723
50	3417	63595
51	3479	63430
52	3541	63281
53	3599	63062
54	3667	63012
55	3727	62832
56	3784	62608
57	3845	62457
58	3904	62269
59	3965	62122
60	4030	62041
61	4093	61924
62	4161	61897
63	4224	61778
64	4282	61606
65	4344	61487
66	4404	61334
67	4469	61253
68	4530	61128
69	4595	61057
70	4659	60962
71	4717	60806
72	4778	60685
73	4840	60567
74	4899	60424
75	4960	60310
76	5021	60191
77	5078	60035
78	5143	59968
79	5211	59926
80	5268	59780
81	5333	59709
82	5395	59606
83	5455	59488
84	5517	59392
85	5577	59273
86	5651	59308
87	5724	59326
88	5790	59269
89	5849	59149
90	5908	59022
91	5976	58989
92	6033	58844
93	6091	58715
94	6159	58678
95	6224	58609
96	6288	58540
97	6346	58411
98	6414	58381
99	6475	58283
100	6536	58178
101	6597	58087
102	6656	57969
103	6717	57877
104	6778	57777
105	6841	57697
106	6900	57593
107	6960	57486
108	7022	57405
109	7081	57298
110	7142	57205
111	7206	57139
112	7263	57012
113	7324	56925
114	7381	56807
115	7446	56749
116	7506	56650
117	7568	56567
118	7629	56481
119	7691	56406
120	7752	56318
121	7810	56212
122	7872	56134
123	7935	56063
124	8003	56023
125	8060	55915
126	8123	55840
127	8192	55813
128	8254	55736
129	8311	55621
130	8375	55557
131	8432	55447
132	8494	55372
133	8555	55289
134	8612	55180
135	8671	55087
136	8735	55026
137	8792	54923
138	8857	54862
139	8922	54808
140	8983	54729
141	9043	54643
142	9107	54583
143	9169	54509
144	9230	54429
145	9291	54350
146	9353	54277
147	9418	54217
148	9475	54120
149	9535	54036
150	9600	53976
151	9659	53891
152	9721	53816
153	9782	53738
154	9847	53683
155	9909	53615
156	9973	53553
157	10033	53471
158	10092	53382
159	10149	53283
160	10206	53187
161	10268	53118
162	10333	53060
163	10399	53010
164	10460	52935
165	10523	52872
166	10587	52812
167	10649	52738
168	10707	52649
169	10773	52598
170	10833	52519
171	10892	52433
172	10952	52354
173	11012	52279
174	11073	52203
175	11130	52109
176	11191	52038
177	11255	51976
178	11316	51904
179	11377	51832
180	11437	51754
181	11498	51681
182	11564	51630
183	11623	51547
184	11683	51470
185	11740	51381
186	11798	51292
187	11852	51194
188	11919	51146
189	11982	51084
190	12044	51016
191	12110	50963
192	12168	50879
193	12226	50798
194	12292	50744
195	12349	50659
196	12417	50613
197	12478	50545
198	12540	50475
199	12597	50391
200	12656	50309
201	12715	50230
202	12777	50165
203	12844	50116
204	12909	50062
205	12972	50000
206	13029	49913
207	13091	49847
208	13150	49768
209	13209	49694
210	13271	49626
211	13328	49542
212	13391	49481
213	13458	49431
214	13517	49355
215	13580	49292
216	13640	49218
217	13695	49126
218	13748	49031
219	13830	49034
220	13899	48992
221	13963	48933
222	14020	48851
223	14083	48788
224	14143	48717
225	14207	48658
226	14270	48593
227	14330	48522
228	14393	48461
229	14456	48398
230	14511	48308
231	14576	48254
232	14636	48180
233	14695	48106
234	14755	48034
235	14813	47956
236	14878	47900
237	14939	47830
238	14994	47742
239	15053	47670
240	15114	47601
241	15173	47527
242	15232	47451
243	15293	47384
244	15354	47317
245	15417	47256
246	15479	47192
247	15535	47108
248	15596	47040
249	15658	46976
250	15717	46902
251	15776	46828
252	15835	46754
253	15892	46677
254	15953	46610
255	16008	46525
256	16068	46456
257	16127	46383
258	16188	46315
259	16252	46255
260	16309	46180
261	16368	46107
262	16429	46040
263	16502	46006
264	16569	45958
265	16627	45882
266	16686	45811
267	16750	45751
268	16819	45706
269	16875	45626
270	16942	45576
271	17004	45510
272	17065	45446
273	17128	45384
274	17188	45314
275	17248	45245
276	17309	45178
277	17370	45112
278	17436	45061
279	17499	44999
280	17559	44930
281	17618	44859
282	17678	44788
283	17736	44716
284	17791	44634
285	17854	44573
286	17917	44511
287	17980	44451
288	18046	44398
289	18106	44330
290	18169	44269
291	18231	44205
292	18295	44145
293	18356	44081
294	18420	44021
295	18484	43963
296	18546	43899
297	18602	43822
298	18662	43753
299	18718	43676
300	18783	43620
301	18841	43547
302	18905	43489
303	18965	43421
304	19026	43355
305	19090	43297
306	19148	43224
307	19209	43159
308	19271	43096
309	19336	43040
310	19398	42977
311	19462	42916
312	19522	42849
313	19584	42785
314	19647	42725
315	19712	42667
316	19770	42596
317	19828	42524
318	19885	42452
319	19946	42386
320	20009	42325
321	20064	42248
322	20127	42186
323	20187	42119
324	20248	42055
325	20309	41989
326	20370	41925
327	20432	41860
328	20488	41785
329	20547	41717
330	20611	41659
331	20677	41603
332	20743	41548
333	20806	41489
334	20879	41447
335	20940	41381
336	21004	41323
337	21064	41256
338	21128	41196
339	21188	41129
340	21244	41056
341	21308	40996
342	21368	40931
343	21435	40876
344	21488	40797
345	21548	40731
346	21610	40667
347	21666	40594
348	21726	40526
349	21784	40456
350	21845	40391
351	21918	40349
352	21996	40316
353	22058	40254
354	22112	40176
355	22170	40106
